side_a_device,side_a_type,side_a_name,side_b_name,side_b_type,side_b_device,status
SRV-004-012,dcim.interface,SLOT-6-NIC1-2,0/24,dcim.interface,SWT-004-004,connected
SRV-004-013,dcim.interface,SLOT-3-NIC1-1,0/25,dcim.interface,SWT-004-003,connected
SRV-004-013,dcim.interface,SLOT-3-NIC1-2,0/25,dcim.interface,SWT-004-004,connected
SRV-004-013,dcim.interface,SLOT-6-NIC1-1,0/26,dcim.interface,SWT-004-003,connected
SRV-004-013,dcim.interface,SLOT-6-NIC1-2,0/26,dcim.interface,SWT-004-004,connected
SRV-004-014,dcim.interface,SLOT-3-NIC1-1,0/27,dcim.interface,SWT-004-003,connected
SRV-004-014,dcim.interface,SLOT-3-NIC1-2,0/27,dcim.interface,SWT-004-004,connected
SRV-004-014,dcim.interface,SLOT-6-NIC1-1,0/28,dcim.interface,SWT-004-003,connected
SRV-004-014,dcim.interface,SLOT-6-NIC1-2,0/28,dcim.interface,SWT-004-004,connected
SRV-004-015,dcim.interface,SLOT-3-NIC1-1,0/29,dcim.interface,SWT-004-003,connected
SRV-004-015,dcim.interface,SLOT-3-NIC1-2,0/29,dcim.interface,SWT-004-004,connected
SRV-004-015,dcim.interface,SLOT-6-NIC1-1,0/30,dcim.interface,SWT-004-003,connected
SRV-004-015,dcim.interface,SLOT-6-NIC1-2,0/30,dcim.interface,SWT-004-004,connected
SRV-004-016,dcim.interface,SLOT-3-NIC1-1,0/31,dcim.interface,SWT-004-003,connected
SRV-004-016,dcim.interface,SLOT-3-NIC1-2,0/31,dcim.interface,SWT-004-004,connected
SRV-004-016,dcim.interface,SLOT-6-NIC1-1,0/32,dcim.interface,SWT-004-003,connected
SRV-004-016,dcim.interface,SLOT-6-NIC1-2,0/32,dcim.interface,SWT-004-004,connected
SRV-004-017,dcim.interface,SLOT-3-NIC1-1,0/33,dcim.interface,SWT-004-003,connected
SRV-004-017,dcim.interface,SLOT-3-NIC1-2,0/33,dcim.interface,SWT-004-004,connected
SRV-004-017,dcim.interface,SLOT-6-NIC1-1,0/34,dcim.interface,SWT-004-003,connected
SRV-004-017,dcim.interface,SLOT-6-NIC1-2,0/34,dcim.interface,SWT-004-004,connected
SRV-004-018,dcim.interface,SLOT-3-NIC1-1,0/35,dcim.interface,SWT-004-003,connected
SRV-004-018,dcim.interface,SLOT-3-NIC1-2,0/35,dcim.interface,SWT-004-004,connected
SRV-004-018,dcim.interface,SLOT-6-NIC1-1,0/36,dcim.interface,SWT-004-003,connected
SRV-004-018,dcim.interface,SLOT-6-NIC1-2,0/36,dcim.interface,SWT-004-004,connected
